home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,month,day,Continent,MaximumTemp_Month,MinimumTemp_Month,HomeTeamRank,AwayTeamRank,MatchResult
Korea Republic,Norway,1,7,FIFA World Cup,Foxborough,United States,TRUE,2003,September,27,North America,24,17,18,3,0
France,Brazil,1,1,FIFA World Cup,"Washington, D.C.",United States,TRUE,2003,September,27,North America,24,17,3,4,2
Canada,Japan,3,1,FIFA World Cup,Foxborough,United States,TRUE,2003,September,27,North America,24,17,11,11,1
Argentina,Germany,1,6,FIFA World Cup,"Washington, D.C.",United States,TRUE,2003,September,27,North America,24,17,35,2,0
Croatia,Malta,3,0,UEFA Euro qualification,Croatia,Croatia,FALSE,2003,September,28,Europe,23,11,44,101,1
Sweden,Nigeria,3,0,FIFA World Cup,Columbus,United States,TRUE,2003,September,28,North America,24,17,5,24,1
USA,Korea DPR,3,0,FIFA World Cup,Columbus,United States,FALSE,2003,September,28,North America,24,17,1,10,1
Ghana,Australia,2,1,FIFA World Cup,Portland,United States,TRUE,2003,September,28,North America,24,17,50,15,1
China PR,Russia,1,0,FIFA World Cup,Portland,United States,TRUE,2003,September,28,North America,24,17,15,15,1
Brazil,Sweden,1,2,FIFA World Cup,Foxborough,United States,TRUE,2003,October,1,North America,17,11,4,5,0
USA,Norway,1,0,FIFA World Cup,Foxborough,United States,FALSE,2003,October,1,North America,17,11,1,3,1
Germany,Russia,7,1,FIFA World Cup,Portland,United States,TRUE,2003,October,2,North America,17,11,2,15,1
China PR,Canada,0,1,FIFA World Cup,Portland,United States,TRUE,2003,October,2,North America,17,11,15,11,0
Belgium,Denmark,1,6,UEFA Euro qualification,Wavre,Belgium,FALSE,2003,October,5,Europe,15,9,27,8,0
USA,Germany,0,3,FIFA World Cup,Portland,United States,FALSE,2003,October,5,North America,17,11,1,2,0
Sweden,Canada,2,1,FIFA World Cup,Portland,United States,TRUE,2003,October,5,North America,17,11,5,11,1
USA,Canada,3,1,FIFA World Cup,Carson,United States,FALSE,2003,October,11,North America,17,11,1,11,1
Romania,Bosnia and Herzegovina,2,0,UEFA Euro qualification,Romania,Romania,FALSE,2003,October,12,Europe,18,10,36,58,1
Germany,Sweden,2,1,FIFA World Cup,Carson,United States,TRUE,2003,October,12,North America,17,11,2,5,1
Denmark,Netherlands,3,0,UEFA Euro qualification,Odense,Denmark,FALSE,2003,October,18,Europe,12,10,8,14,1
Croatia,Romania,2,3,UEFA Euro qualification,Croatia,Croatia,FALSE,2003,October,18,Europe,17,7,44,36,0
Belarus,Israel,1,1,UEFA Euro qualification,Mogilev,Belarus,FALSE,2003,October,18,Europe,10,4,38,63,2
Czech Republic,Scotland,2,0,UEFA Euro qualification,Czech Republic,Czech Republic,FALSE,2003,October,19,europe,14,6,25,21,1
Malta,Republic of Ireland,0,9,UEFA Euro qualification,Ta' Qali,Malta,FALSE,2003,October,22,Europe,24,22,101,31,0
Greece,Armenia,7,0,UEFA Euro qualification,Greece,Greece,FALSE,2003,October,25,Europe,22,17,62,103,1
Armenia,Greece,0,9,UEFA Euro qualification,Armenia,Armenia,FALSE,2003,October,28,Europe,22,8,103,62,0
Serbia and Montenegro,Sweden,0,4,UEFA Euro qualification,Železnik,Serbia and Montenegro,FALSE,2003,November,15,Europe,13,6,29,5,0
France,Poland,7,1,UEFA Euro qualification,France,France,FALSE,2003,November,15,Europe,11,6,3,31,1
Germany,Portugal,13,0,UEFA Euro qualification,Reutlingen,Germany,FALSE,2003,November,15,Europe,8,4,2,41,1
Greece,Slovakia,3,1,UEFA Euro qualification,Greece,Greece,FALSE,2003,November,15,Europe,18,14,62,47,1
Spain,Norway,0,2,UEFA Euro qualification,Las Rozas de Madrid,Spain,FALSE,2003,November,16,Europe,15,7,20,3,0
Malta,Croatia,1,4,UEFA Euro qualification,Gozo,Malta,FALSE,2003,November,16,Europe,21,19,101,44,0
Norway,Belgium,6,0,UEFA Euro qualification,Kristiansand,Norway,FALSE,2003,November,20,Europe,4,0,3,27,1
Netherlands,Belgium,3,0,UEFA Euro qualification,Eindhoven,Netherlands,FALSE,2003,November,22,Europe,10,7,14,27,1
Greece,Austria,0,2,UEFA Euro qualification,Greece,Greece,FALSE,2003,November,29,Europe,18,14,62,21,0
Portugal,Czech Republic,0,1,UEFA Euro qualification,Pombal,Portugal,FALSE,2003,December,6,Europe,16,10,41,25,0
Sweden,USA,0,3,Four Nations Tournament,Shenzhen,China PR,TRUE,2004,January,30,asia,9,3,5,1,0
China PR,Canada,2,1,Four Nations Tournament,Shenzhen,China PR,FALSE,2004,January,30,asia,9,3,15,11,1
Sweden,Canada,3,1,Four Nations Tournament,Shenzhen,China PR,TRUE,2004,February,1,asia,11,4,5,11,1
China PR,USA,0,0,Four Nations Tournament,Shenzhen,China PR,FALSE,2004,February,1,asia,11,4,15,1,2
Canada,USA,0,2,Four Nations Tournament,Shenzhen,China PR,TRUE,2004,February,3,asia,11,4,11,1,0
China PR,Sweden,2,2,Four Nations Tournament,Shenzhen,China PR,FALSE,2004,February,3,asia,11,4,15,5,2
Portugal,Germany,0,11,UEFA Euro qualification,Albufeira,Portugal,FALSE,2004,February,7,Europe,16,9,41,2,0
Belgium,Spain,2,0,UEFA Euro qualification,Mons,Belgium,FALSE,2004,February,20,Europe,7,2,27,20,1
Spain,Belgium,9,1,UEFA Euro qualification,Alginet,Spain,FALSE,2004,February,29,Europe,13,4,20,27,1
Belgium,Norway,1,6,UEFA Euro qualification,Strombeek-Bever,Belgium,FALSE,2004,March,7,Europe,11,4,27,3,0
Denmark,Sweden,0,1,Algarve Cup,Ferreiras,Portugal,TRUE,2004,March,14,Europe,18,10,8,5,0
USA,France,5,1,Algarve Cup,Ferreiras,Portugal,TRUE,2004,March,14,Europe,18,10,1,3,1
Norway,Finland,4,1,Algarve Cup,Guia,Portugal,TRUE,2004,March,14,Europe,18,10,3,16,1
Italy,China PR,1,0,Algarve Cup,Guia,Portugal,TRUE,2004,March,14,Europe,18,10,10,15,1
Greece,Wales,1,0,Algarve Cup,Faro,Portugal,TRUE,2004,March,14,Europe,18,10,62,56,1
Portugal,Northern Ireland,2,0,Algarve Cup,Faro,Portugal,FALSE,2004,March,14,Europe,18,10,41,77,1
Denmark,USA,0,1,Algarve Cup,Quarteira,Portugal,TRUE,2004,March,16,Europe,18,10,8,1,0
Sweden,France,0,3,Algarve Cup,Quarteira,Portugal,TRUE,2004,March,16,Europe,18,10,5,3,0
Norway,Italy,3,0,Algarve Cup,Olhão,Portugal,TRUE,2004,March,16,Europe,18,10,3,10,1
Finland,China PR,0,4,Algarve Cup,Olhão,Portugal,TRUE,2004,March,16,Europe,18,10,16,15,0
Northern Ireland,Greece,0,2,Algarve Cup,Albufeira,Portugal,TRUE,2004,March,16,Europe,18,10,77,62,0
Portugal,Wales,2,3,Algarve Cup,Albufeira,Portugal,FALSE,2004,March,16,Europe,18,10,41,56,0
Denmark,France,0,1,Algarve Cup,Silves,Portugal,TRUE,2004,March,18,Europe,18,10,8,3,0
Sweden,USA,3,1,Algarve Cup,Lagos,Portugal,TRUE,2004,March,18,Europe,18,10,5,1,1
Norway,China PR,0,0,Algarve Cup,Silves,Portugal,TRUE,2004,March,18,Europe,18,10,3,15,2
Finland,Italy,1,2,Algarve Cup,Lagos,Portugal,TRUE,2004,March,18,Europe,18,10,16,10,0
Wales,Northern Ireland,3,1,Algarve Cup,Guia,Portugal,TRUE,2004,March,18,Europe,18,10,56,77,1
Portugal,Greece,3,0,Algarve Cup,Faro,Portugal,FALSE,2004,March,18,Europe,18,10,41,62,1
Greece,Northern Ireland,2,0,Algarve Cup,Montechoro,Portugal,TRUE,2004,March,20,Europe,18,10,62,77,1
Wales,Finland,0,4,Algarve Cup,Ferreiras,Portugal,TRUE,2004,March,20,Europe,18,10,56,16,0
Portugal,Denmark,0,1,Algarve Cup,Loulé,Portugal,FALSE,2004,March,20,Europe,18,10,41,8,0
Sweden,China PR,1,1,Algarve Cup,Olhão,Portugal,TRUE,2004,March,20,Europe,18,10,5,15,2
France,Italy,3,3,Algarve Cup,Faro,Portugal,TRUE,2004,March,20,Europe,18,10,3,10,2
USA,Norway,4,1,Algarve Cup,Faro,Portugal,TRUE,2004,March,20,Europe,18,10,1,3,1
Spain,Netherlands,0,0,UEFA Euro qualification,La Roda,Spain,FALSE,2004,March,21,Europe,16,6,20,14,2
Portugal,Ukraine,1,2,UEFA Euro qualification,Setúbal,Portugal,FALSE,2004,April,3,Europe,19,12,41,23,0
Ukraine,Scotland,1,0,UEFA Euro qualification,Ukraine,Ukraine,FALSE,2004,April,10,Europe,14,5,23,21,1
Republic of Ireland,Croatia,8,1,UEFA Euro qualification,Dublin,Republic of Ireland,FALSE,2004,April,10,Europe,10,6,31,44,1
Spain,Denmark,0,1,UEFA Euro qualification,Lucena,Spain,FALSE,2004,April,18,Europe,19,8,20,8,0
Italy,Finland,1,1,UEFA Euro qualification,Andria,Italy,FALSE,2004,April,24,Europe,18,12,10,16,2
Switzerland,Sweden,0,2,UEFA Euro qualification,Solothurn,Switzerland,FALSE,2004,April,24,Europe,16,4,26,5,0
France,Hungary,6,0,UEFA Euro qualification,France,France,FALSE,2004,April,24,Europe,16,7,3,39,1
Austria,Greece,1,2,UEFA Euro qualification,Austria,Austria,FALSE,2004,April,24,Europe,15,6,21,62,0
Belgium,Netherlands,0,3,UEFA Euro qualification,Heverlee,Belgium,FALSE,2004,April,25,Europe,15,6,27,14,0
Germany,Ukraine,6,0,UEFA Euro qualification,Germany,Germany,FALSE,2004,April,28,Europe,15,6,2,23,1
Slovakia,Greece,2,2,UEFA Euro qualification,Slovakia,Slovakia,FALSE,2004,April,29,Europe,16,7,47,62,2
Hungary,Poland,2,2,UEFA Euro qualification,Hungary,Hungary,FALSE,2004,May,1,Europe,21,11,39,31,2
Romania,Republic of Ireland,1,1,UEFA Euro qualification,Bucharest,Romania,FALSE,2004,May,1,Europe,24,13,36,31,2
Scotland,Germany,1,3,UEFA Euro qualification,Scotland,Scotland,FALSE,2004,May,2,europe,12,5,21,2,0
Poland,Russia,1,1,UEFA Euro qualification,Poland,Poland,FALSE,2004,May,8,Europe,19,9,31,15,2
Malta,Romania,0,8,UEFA Euro qualification,Hamrun,Malta,FALSE,2004,May,8,Europe,20,18,101,36,0
Austria,Slovakia,3,0,UEFA Euro qualification,Austria,Austria,FALSE,2004,May,8,Europe,19,10,21,47,1
Czech Republic,Portugal,5,1,UEFA Euro qualification,Uherské Hradiště,Czech Republic,FALSE,2004,May,9,europe,18,8,25,41,1
Bosnia and Herzegovina,Republic of Ireland,1,4,UEFA Euro qualification,Vogošća,Bosnia and Herzegovina,FALSE,2004,May,9,Europe,16,5,58,31,0
Israel,Estonia,12,1,UEFA Euro qualification,Israel,Israel,FALSE,2004,May,9,Asia,31,18,63,77,1
Eritrea,Tanzania,1,1,African Championship qualification,Asmara,Eritrea,FALSE,2004,May,12,Africa,27,19,58,124,2
Finland,Serbia and Montenegro,4,0,UEFA Euro qualification,Helsinki,Finland,FALSE,2004,May,15,Europe,11,7,16,29,1
Croatia,Bosnia and Herzegovina,6,0,UEFA Euro qualification,Croatia,Croatia,FALSE,2004,May,15,Europe,21,9,44,58,1
Russia,France,0,3,UEFA Euro qualification,Russia,Russia,FALSE,2004,May,16,Europe,19,9,15,3,0
Italy,Switzerland,0,0,UEFA Euro qualification,Trapani,Italy,FALSE,2004,May,22,Europe,21,15,10,26,2
Denmark,Spain,2,0,UEFA Euro qualification,Farum,Denmark,FALSE,2004,May,22,Europe,13,9,8,20,1
Netherlands,Norway,0,2,UEFA Euro qualification,Wezep,Netherlands,FALSE,2004,May,22,Europe,16,10,14,3,0
Scotland,Portugal,2,1,UEFA Euro qualification,Livingston,Scotland,FALSE,2004,May,23,europe,12,5,21,41,1
Kazakhstan,Belarus,0,2,UEFA Euro qualification,Kazakhstan,Kazakhstan,FALSE,2004,May,25,Asia,16,6,66,38,0
Denmark,Norway,2,1,UEFA Euro qualification,Odense,Denmark,FALSE,2004,May,27,Europe,13,9,8,3,1
Tanzania,Eritrea,4,0,African Championship qualification,Dar es Salaam,Tanzania,FALSE,2004,May,29,Africa,27,16,124,58,1
Hungary,Iceland,0,5,UEFA Euro qualification,Hungary,Hungary,FALSE,2004,May,29,Europe,21,11,39,17,0
Equatorial Guinea,Congo,2,2,African Championship qualification,Malabo,Equatorial Guinea,FALSE,2004,May,30,Africa,28,27,55,110,2
Israel,Kazakhstan,3,1,UEFA Euro qualification,Israel,Israel,FALSE,2004,May,30,Asia,31,18,63,66,1
Iceland,France,0,3,UEFA Euro qualification,Iceland,Iceland,FALSE,2004,June,2,Europe,12,8,17,3,0
Czech Republic,Ukraine,4,1,UEFA Euro qualification,Czech Republic,Czech Republic,FALSE,2004,June,5,europe,22,12,25,23,1
Congo,Equatorial Guinea,2,0,African Championship qualification,Brazzaville,Congo,FALSE,2004,June,12,Africa,32,20,110,55,1
Republic of Ireland,Malta,5,0,UEFA Euro qualification,Dublin,Republic of Ireland,FALSE,2004,June,25,Europe,15,11,31,101,1
Italy,Sweden,2,1,UEFA Euro qualification,Benevento,Italy,FALSE,2004,June,26,Europe,26,19,10,5,1
Senegal,Nigeria,2,8,African Championship qualification,Dakar,Senegal,FALSE,2004,July,10,Africa,29,26,87,24,0
Congo,Cameroon,0,2,African Championship qualification,Brazzaville,Congo,FALSE,2004,July,11,Africa,33,20,110,47,0
Malawi,Ethiopia,0,4,African Championship qualification,Blantyre,Malawi,FALSE,2004,July,11,Africa,23,11,123,112,0
Tanzania,Zimbabwe,0,3,African Championship qualification,Dar es Salaam,Tanzania,FALSE,2004,July,11,Africa,27,14,124,95,0
Mali,Algeria,2,2,African Championship qualification,Bamako,Mali,FALSE,2004,July,11,Africa,34,24,82,74,2
Guinea,Ghana,0,13,African Championship qualification,Conakry,Guinea,FALSE,2004,July,11,Africa,28,24,107,50,0
Algeria,Mali,1,0,African Championship qualification,Blida,Algeria,FALSE,2004,July,23,Africa,32,24,74,82,1
Ghana,Guinea,9,0,African Championship qualification,Accra,Ghana,FALSE,2004,July,24,Africa,27,24,50,107,1
Nigeria,Senegal,4,11,African Championship qualification,Warri,Nigeria,FALSE,2004,July,24,Africa,28,25,24,87,0
Cameroon,Congo,0,0,African Championship qualification,Yaoundé,Cameroon,FALSE,2004,July,25,Africa,28,23,47,110,2
Ethiopia,Malawi,5,0,African Championship qualification,Addis Ababa,Ethiopia,FALSE,2004,July,25,Africa,21,12,112,123,1
Zimbabwe,Tanzania,4,0,African Championship qualification,Harare,Zimbabwe,FALSE,2004,July,25,Africa,22,9,95,124,1
Sweden,Japan,0,1,Olympic Games,Volos,Greece,TRUE,2004,August,11,Europe,31,25,5,11,0
Germany,China PR,8,0,Olympic Games,Patras,Greece,TRUE,2004,August,11,Europe,31,25,2,15,1
Greece,USA,0,3,Olympic Games,Heraklio,Greece,FALSE,2004,August,11,Europe,31,25,62,1,0
Brazil,Australia,1,0,Olympic Games,Thessaloniki,Greece,TRUE,2004,August,11,Europe,31,25,4,15,1
Japan,Nigeria,0,1,Olympic Games,Athens,Greece,TRUE,2004,August,14,Europe,31,25,11,24,0
China PR,Mexico,1,1,Olympic Games,Patras,Greece,TRUE,2004,August,14,Europe,31,25,15,22,2
Greece,Australia,0,1,Olympic Games,Heraklio,Greece,FALSE,2004,August,14,Europe,31,25,62,15,0
USA,Brazil,2,0,Olympic Games,Thessaloniki,Greece,TRUE,2004,August,14,Europe,31,25,1,4,1
Sweden,Nigeria,2,1,Olympic Games,Volos,Greece,TRUE,2004,August,17,Europe,31,25,5,24,1
Germany,Mexico,2,0,Olympic Games,Athens,Greece,TRUE,2004,August,17,Europe,31,25,2,22,1
Greece,Brazil,0,7,Olympic Games,Patras,Greece,FALSE,2004,August,17,Europe,31,25,62,4,0
USA,Australia,1,1,Olympic Games,Thessaloniki,Greece,TRUE,2004,August,17,Europe,31,25,1,15,2
Germany,Nigeria,2,1,Olympic Games,Patras,Greece,TRUE,2004,August,20,Europe,31,25,2,24,1
USA,Japan,2,1,Olympic Games,Thessaloniki,Greece,TRUE,2004,August,20,Europe,31,25,1,11,1
Mexico,Brazil,0,5,Olympic Games,Heraklio,Greece,TRUE,2004,August,20,Europe,31,25,22,4,0
Sweden,Australia,2,1,Olympic Games,Volos,Greece,TRUE,2004,August,20,Europe,31,25,5,15,1
Slovakia,Austria,2,3,UEFA Euro qualification,Slovakia,Slovakia,FALSE,2004,August,21,Europe,28,17,47,21,0
Iceland,Russia,0,2,UEFA Euro qualification,Iceland,Iceland,FALSE,2004,August,22,Europe,13,9,17,15,0
USA,Germany,2,1,Olympic Games,Heraklio,Greece,TRUE,2004,August,23,Europe,31,25,1,2,1
Brazil,Sweden,1,0,Olympic Games,Patras,Greece,TRUE,2004,August,23,Europe,31,25,4,5,1
Belarus,Kazakhstan,8,1,UEFA Euro qualification,Minsk,Belarus,FALSE,2004,August,25,Europe,23,13,38,66,1
Germany,Sweden,1,0,Olympic Games,Athens,Greece,TRUE,2004,August,26,Europe,31,25,2,5,1
USA,Brazil,2,1,Olympic Games,Athens,Greece,TRUE,2004,August,26,Europe,31,25,1,4,1
Estonia,Belarus,1,3,UEFA Euro qualification,Estonia,Estonia,FALSE,2004,August,29,Europe,20,14,77,38,0
Switzerland,Finland,0,2,UEFA Euro qualification,Visp,Switzerland,FALSE,2004,September,4,Europe,21,9,26,16,0
Scotland,Czech Republic,3,2,UEFA Euro qualification,Scotland,Scotland,FALSE,2004,September,5,europe,14,8,21,25,1
Malta,Bosnia and Herzegovina,0,2,UEFA Euro qualification,Ta' Qali,Malta,FALSE,2004,September,5,Europe,26,25,101,58,0
South Africa,Ghana,0,3,African Championship,Pretoria,South Africa,FALSE,2004,September,18,Africa,19,12,55,50,0
Zimbabwe,Ethiopia,1,1,African Championship,Pretoria,South Africa,TRUE,2004,September,18,Africa,19,12,95,112,2
Nigeria,Algeria,4,0,African Championship,Germiston,South Africa,TRUE,2004,September,19,Africa,19,12,24,74,1
Cameroon,Mali,2,2,African Championship,Germiston,South Africa,TRUE,2004,September,19,Africa,19,12,47,82,2
Bosnia and Herzegovina,Romania,0,0,UEFA Euro qualification,Bosnia and Herzegovina,Bosnia and Herzegovina,FALSE,2004,September,19,Europe,19,7,58,36,2
Kazakhstan,Estonia,0,0,UEFA Euro qualification,Kazakhstan,Kazakhstan,FALSE,2004,September,19,Asia,17,8,66,77,2
Ghana,Ethiopia,2,1,African Championship,Pretoria,South Africa,TRUE,2004,September,21,Africa,19,12,50,112,1
South Africa,Zimbabwe,1,2,African Championship,Pretoria,South Africa,FALSE,2004,September,21,Africa,19,12,55,95,0
Algeria,Mali,3,0,African Championship,Germiston,South Africa,TRUE,2004,September,22,Africa,19,12,74,82,1
Nigeria,Cameroon,2,2,African Championship,Germiston,South Africa,TRUE,2004,September,22,Africa,19,12,24,47,2
Ghana,Zimbabwe,2,0,African Championship,Pretoria,South Africa,TRUE,2004,September,24,Africa,19,12,50,95,1
South Africa,Ethiopia,1,2,African Championship,Germiston,South Africa,FALSE,2004,September,24,Africa,19,12,55,112,0
Algeria,Cameroon,1,3,African Championship,Germiston,South Africa,TRUE,2004,September,25,Africa,19,12,74,47,0
Nigeria,Mali,3,0,African Championship,Pretoria,South Africa,TRUE,2004,September,25,Africa,19,12,24,82,1
Serbia and Montenegro,Italy,1,2,UEFA Euro qualification,Niš,Serbia and Montenegro,FALSE,2004,September,25,Europe,26,14,29,10,0
Czech Republic,Germany,0,5,UEFA Euro qualification,Czech Republic,Czech Republic,FALSE,2004,September,25,europe,20,11,25,2,0
Denmark,Belgium,6,0,UEFA Euro qualification,Aalborg,Denmark,FALSE,2004,September,26,Europe,17,14,8,27,1
France,Russia,2,5,UEFA Euro qualification,France,France,FALSE,2004,September,26,Europe,22,13,3,15,0
Ghana,Cameroon,0,1,African Championship,Johannesburg,South Africa,TRUE,2004,September,28,Africa,19,12,50,47,0
Nigeria,Ethiopia,4,0,African Championship,Johannesburg,South Africa,TRUE,2004,September,28,Africa,19,12,24,112,1
Serbia and Montenegro,Switzerland,1,0,UEFA Euro qualification,Kruševac,Serbia and Montenegro,FALSE,2004,September,29,Europe,26,14,29,26,1
Netherlands,Denmark,1,5,UEFA Euro qualification,Katwijk,Netherlands,FALSE,2004,September,29,Europe,19,13,14,8,0
Ghana,Ethiopia,0,0,African Championship,Johannesburg,South Africa,TRUE,2004,October,2,Africa,21,13,50,112,2
Finland,Sweden,1,1,UEFA Euro qualification,Vaasa,Finland,FALSE,2004,October,2,Europe,9,6,16,5,2
Norway,Spain,2,0,UEFA Euro qualification,Porsgrunn,Norway,FALSE,2004,October,2,Europe,10,4,3,20,1
Romania,Croatia,10,0,UEFA Euro qualification,Otopeni,Romania,FALSE,2004,October,2,Europe,18,10,36,44,1
Israel,Belarus,0,2,UEFA Euro qualification,Israel,Israel,FALSE,2004,October,2,Asia,31,21,63,38,0
Nigeria,Cameroon,5,0,African Championship,Johannesburg,South Africa,TRUE,2004,October,3,Africa,21,13,24,47,1
Russia,Hungary,4,0,UEFA Euro qualification,Russia,Russia,FALSE,2004,October,3,Europe,9,3,15,39,1
Poland,France,1,5,UEFA Euro qualification,Poland,Poland,FALSE,2004,October,3,Europe,13,6,31,3,0
Finland,Russia,1,0,UEFA Euro qualification,Jakobstad,Finland,FALSE,2004,October,16,Europe,9,6,16,15,1
Russia,Finland,1,3,UEFA Euro qualification,Moscow,Russia,FALSE,2004,October,20,Europe,9,3,15,16,0
Iceland,Norway,2,7,UEFA Euro qualification,Reykjavík,Iceland,FALSE,2004,November,10,Europe,3,1,17,3,0
Italy,Czech Republic,2,1,UEFA Euro qualification,Crotone,Italy,FALSE,2004,November,13,Europe,18,13,10,25,1
Norway,Iceland,2,1,UEFA Euro qualification,Oslo,Norway,FALSE,2004,November,13,Europe,4,0,3,17,1
Czech Republic,Italy,0,3,UEFA Euro qualification,Čáslav,Czech Republic,FALSE,2004,November,27,europe,8,3,25,10,0
Sweden,Serbia and Montenegro,5,1,UEFA Euro qualification,Växjö,Sweden,FALSE,2004,December,20,Europe,2,-1,5,29,1
Germany,Australia,0,1,Four Nations Tournament,Guangzhou,China PR,TRUE,2005,January,28,asia,9,3,2,15,0
China PR,Russia,3,1,Four Nations Tournament,Guangzhou,China PR,FALSE,2005,January,28,asia,9,3,15,15,1
China PR,Australia,3,0,Four Nations Tournament,Guangzhou,China PR,FALSE,2005,January,30,asia,9,3,15,15,1
Germany,Russia,1,0,Four Nations Tournament,Guangzhou,China PR,TRUE,2005,January,30,asia,9,3,2,15,1
Russia,Australia,0,5,Four Nations Tournament,Guangzhou,China PR,TRUE,2005,February,1,asia,11,4,15,15,0
China PR,Germany,0,2,Four Nations Tournament,Guangzhou,China PR,FALSE,2005,February,1,asia,11,4,15,2,0
Norway,China PR,2,1,Algarve Cup,Lagos,Portugal,TRUE,2005,March,9,Europe,18,10,3,15,1
Sweden,Germany,1,2,Algarve Cup,Lagos,Portugal,TRUE,2005,March,9,Europe,18,10,5,2,0
Denmark,Finland,4,1,Algarve Cup,Ferreiras,Portugal,TRUE,2005,March,9,Europe,18,10,8,16,1
France,USA,0,1,Algarve Cup,Ferreiras,Portugal,TRUE,2005,March,9,Europe,18,10,3,1,0
England,Northern Ireland,4,0,Algarve Cup,Paderne,Portugal,TRUE,2005,March,9,Europe,18,10,8,77,1
Portugal,Mexico,1,2,Algarve Cup,Paderne,Portugal,FALSE,2005,March,9,Europe,18,10,41,22,0
China PR,Sweden,0,2,Algarve Cup,Silves,Portugal,TRUE,2005,March,11,Europe,18,10,15,5,0
Germany,Norway,4,0,Algarve Cup,Silves,Portugal,TRUE,2005,March,11,Europe,18,10,2,3,1
USA,Finland,3,0,Algarve Cup,Guia,Portugal,TRUE,2005,March,11,Europe,18,10,1,16,1
Denmark,France,1,2,Algarve Cup,Guia,Portugal,TRUE,2005,March,11,Europe,18,10,8,3,0
Portugal,England,0,4,Algarve Cup,Faro,Portugal,FALSE,2005,March,11,Europe,18,10,41,8,0
Mexico,Northern Ireland,2,0,Algarve Cup,Faro,Portugal,TRUE,2005,March,11,Europe,18,10,22,77,1
China PR,Germany,0,2,Algarve Cup,Alvor,Portugal,TRUE,2005,March,13,Europe,18,10,15,2,0
Sweden,Norway,1,1,Algarve Cup,Loulé,Portugal,TRUE,2005,March,13,Europe,18,10,5,3,2
USA,Denmark,4,0,Algarve Cup,Vila Real de San Antonio,Portugal,TRUE,2005,March,13,Europe,18,10,1,8,1
Finland,France,1,2,Algarve Cup,Loulé,Portugal,TRUE,2005,March,13,Europe,18,10,16,3,0
England,Mexico,5,0,Algarve Cup,Lagos,Portugal,TRUE,2005,March,13,Europe,18,10,8,22,1
Portugal,Northern Ireland,1,2,Algarve Cup,Lagos,Portugal,FALSE,2005,March,13,Europe,18,10,41,77,0
Portugal,Northern Ireland,3,1,Algarve Cup,Algarve,Portugal,FALSE,2005,March,15,Europe,18,10,41,77,1
Finland,Mexico,1,1,Algarve Cup,Algarve,Portugal,TRUE,2005,March,15,Europe,18,10,16,22,2
China PR,England,0,0,Algarve Cup,Algarve,Portugal,TRUE,2005,March,15,Europe,18,10,15,8,2
Norway,Denmark,2,1,Algarve Cup,Algarve,Portugal,TRUE,2005,March,15,Europe,18,10,3,8,1
Sweden,France,2,3,Algarve Cup,Algarve,Portugal,TRUE,2005,March,15,Europe,18,10,5,3,0
Germany,USA,0,1,Algarve Cup,Faro-Loulé,Portugal,TRUE,2005,March,15,Europe,18,10,2,1,0
Uzbekistan,Myanmar,1,2,AFC Asian Cup qualification,Hanoi,Vietnam,TRUE,2005,May,6,Asia,34,27,49,44,0
Thailand,India,3,2,AFC Asian Cup qualification,Hanoi,Vietnam,TRUE,2005,May,6,Asia,34,27,41,56,1
Sweden,Denmark,1,1,UEFA Euro,Blackpool,England,TRUE,2005,June,5,europe,19,11,5,8,2
England,Finland,3,2,UEFA Euro,Manchester,England,FALSE,2005,June,5,europe,19,11,8,16,1
Germany,Norway,1,0,UEFA Euro,Warrington,England,TRUE,2005,June,6,europe,19,11,2,3,1
France,Italy,3,1,UEFA Euro,Preston,England,TRUE,2005,June,6,europe,19,11,3,10,1
England,Denmark,1,2,UEFA Euro,Blackburn,England,FALSE,2005,June,8,europe,19,11,8,8,0
Sweden,Finland,0,0,UEFA Euro,Blackpool,England,TRUE,2005,June,8,europe,19,11,5,16,2
Germany,Italy,4,0,UEFA Euro,Preston,England,TRUE,2005,June,9,europe,19,11,2,10,1
Norway,France,1,1,UEFA Euro,Warrington,England,TRUE,2005,June,9,europe,19,11,3,3,2
England,Sweden,0,1,UEFA Euro,Blackburn,England,FALSE,2005,June,11,europe,19,11,8,5,0
Finland,Denmark,2,1,UEFA Euro,Blackpool,England,TRUE,2005,June,11,europe,19,11,16,8,1
France,Germany,0,3,UEFA Euro,Warrington,England,TRUE,2005,June,12,europe,19,11,3,2,0
Norway,Italy,5,3,UEFA Euro,Preston,England,TRUE,2005,June,12,europe,19,11,3,10,1
Vietnam,Philippines,6,1,AFC Asian Cup qualification,Hanoi,Vietnam,FALSE,2005,June,12,Asia,32,26,32,67,1
India,Guam,10,0,AFC Asian Cup qualification,Hanoi,Vietnam,TRUE,2005,June,12,Asia,32,26,56,82,1
Uzbekistan,Maldives,6,0,AFC Asian Cup qualification,Hanoi,Vietnam,TRUE,2005,June,13,Asia,32,26,49,111,1
Indonesia,Singapore,0,0,AFC Asian Cup qualification,Hanoi,Vietnam,TRUE,2005,June,13,Asia,32,26,68,92,2
Myanmar,Philippines,4,1,AFC Asian Cup qualification,Hanoi,Vietnam,TRUE,2005,June,14,Asia,32,26,44,67,1
Taiwan,India,2,1,AFC Asian Cup qualification,Hanoi,Vietnam,TRUE,2005,June,14,Asia,32,26,40,56,1
